Instance,Income
111994,28796.83819861982
111995,20832.969575326868
111996,48815.23358565583
111997,102142.53492972882
111998,19037.939907294625
111999,71090.10113997567
112000,92185.74474853762
112001,51255.32845931488
112002,34823.87780413505
112003,90870.00362963587
112004,15888.69093686815
112005,174073.47862563562
112006,7227.767601176384
112007,110450.86479717436
112008,245462.32516061145
112009,66056.51311129922
112010,50872.46446610504
112011,15437.657947015592
112012,39212.30800701115
112013,27672.94426401505
112014,112274.13415801614
112015,35039.08222250641
112016,45485.32595975508
112017,17504.26249290771
112018,165328.9699246182
112019,59448.48466857169
112020,17795.52784543717
112021,13727.79283640004
112022,82676.80568414506
112023,48684.257110617764
112024,9950.067331739005
112025,82004.35241887323
112026,52071.981868402334
112027,58105.065688751696
112028,22739.765040921917
112029,54885.41370657278
112030,154602.68909085143
112031,205680.1103747897
112032,198458.80728672724
112033,123265.87717928208
112034,284864.38302897976
112035,88182.67471351378
112036,190943.37978299812
112037,116688.99056290527
112038,231910.70801044026
112039,45860.327861212594
112040,63610.649325106315
112041,44143.48003671319
112042,27251.216477344587
112043,46769.8729735816
112044,30153.48346296721
112045,24911.397686445547
112046,267640.6393448274
112047,21218.586569814022
112048,11561.429816725953
112049,101448.86961149146
112050,33907.885471146765
112051,56317.25536148914
112052,129368.05021515276
112053,196613.60651271202
112054,56571.774288157016
112055,17316.797611573696
112056,82149.8915513613
112057,27716.758852988245
112058,49275.40218718243
112059,27546.140395972798
112060,265813.37669306697
112061,161504.44961347454
112062,224281.26383141353
112063,59925.370633098384
112064,22402.683751427052
112065,52780.791173027865
112066,18342.942472942013
112067,112043.25744457
112068,74006.30563632722
112069,249966.00586250014
112070,379586.97919512977
112071,68788.32334464001
112072,81800.51702792893
112073,40793.20804272397
112074,19761.251809141282
112075,17973.063475886214
112076,103412.01063448166
112077,1118881.752524265
112078,14782.349305909785
112079,181107.21055851463
112080,71766.86638377493
112081,858940.7319955104
112082,21311.23980761234
112083,24711.051825832707
112084,25543.482711983434
112085,42246.62246927945
112086,20423.94644404316
112087,62960.85934325249
112088,108554.03297074034
112089,38676.80809695434
112090,173849.17296042605
112091,21296.505043456
112092,20049.109541136506
112093,96665.76867676296
112094,17158.215556638697
112095,33871.034592071745
112096,136928.61747025757
112097,18825.35412099338
112098,17269.455985393084
112099,26203.24004040079
112100,28454.4101784725
112101,196062.43264352312
112102,17160.53400602136
112103,136405.425937516
112104,64698.05310942478
112105,44272.792756267656
112106,92808.7126656602
112107,126017.20403901413
112108,81337.56613815867
112109,18766.9670665527
112110,41275.255132473096
112111,23553.598039578723
112112,68174.46208562865
112113,60915.0689449764
112114,41864.06298955047
112115,23392.62001474804
112116,43306.124808974484
112117,93779.7367471136
112118,22717.13311224372
112119,24850.26679374431
112120,534132.125295225
112121,110849.28825387203
112122,406630.40530238487
112123,211659.41304503666
112124,53589.00241123241
112125,153629.32491801164
112126,196649.57620460205
112127,13952.360359649969
112128,24171.68489171109
112129,109526.22516225597
112130,84087.31750361595
112131,39152.966375050055
112132,71218.17848239103
112133,324500.24339872395
112134,35254.83275057796
112135,9683.900967286369
112136,45244.787611302774
112137,21306.06381187348
112138,38722.45102440517
112139,55475.893062611416
112140,18850.33039932726
112141,36544.84347475666
112142,70372.05660904881
112143,190115.59342301462
112144,16942.00366579086
112145,18197.93376801869
112146,39698.759396606256
112147,252266.8199116002
112148,41554.8507412821
112149,56339.36408596517
112150,14797.04851358069
